$L_{REGCOIL}$,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
3.9476961205121714,2.6232213012001546,1.8985291883872202,2.106211624879334,2.396683336815045,2.623221301200154,1.1881674131659126
3.877444948388967,2.428828209171039,1.6114839107789318,2.0517090569160907,2.088303001608674,2.4288282091710385,1.0995289280844942
4.095732348930738,3.392319426015812,2.2177255419221487,2.732334367034043,3.0118040357947793,3.392319426015811,1.6524404807275
5.053496243675408,4.247070354931006,3.059863229922712,3.8169070429885763,4.084458266351658,4.247070354931006,2.1401405003891023
2.1606689305519438,1.7324067498027416,1.2772592911553686,1.457622504690905,1.5644660652337636,1.7324067498027416,0.7347367416806856
4.09091713984833,2.4323992218885415,1.5859423447648053,1.8952106255356975,2.0798533850050918,2.432399221888541,1.172591957575692
2.165651581707413,1.5480819881997812,1.137309108015028,1.2727302328999166,1.5342603966559825,1.5480819881997816,0.5208913236849539
2.2647424985213034,1.6515135500701326,1.13765067976196,1.3409008707277057,1.4068612481622564,1.6515135500701321,0.7057796374268844
2.9133920678055425,2.0467294458612586,1.38396216499131,1.6496860980277384,1.8233137207840842,2.0467294458612586,0.7613597516849421
5.52536623150508,3.37720185854072,2.1253693898709454,2.6450518305664086,2.9908099041857175,3.3772018585407197,1.6962891022045021
5.493189996111887,3.062701262706232,1.971851612799021,2.6050080329509986,2.4862562693188925,3.0627012627062316,1.4686071662238058
4.08755102172178,2.428515582411165,1.4520017071168323,1.8930715408670715,2.075959936853339,2.4285155824111655,1.1705345856651306
2.675657775539318,1.9314138424812008,1.314593955203522,1.753620220942087,1.6347394011648835,1.9314138424812006,0.8880732621651538
2.2178847645566746,1.5724754638932779,0.9721070921985885,1.3472238177861482,1.4432355135088584,1.5724754638932776,0.5574150743398216
