QUASR coil distance,$L_{REGCOIL}$_0
2.2689296800148364,4.119180838380414
1.4782726437802054,2.584629519385759
2.6775913062861187,5.6658334286377645
3.8844568478504438,7.3569791713279145
3.9245475427397523,7.2813193195468635
6.008393038585453,11.128993242004457
0.9490275084263472,1.9048252807252886
1.7630032826618842,2.6222586704213433
1.188240343584201,2.4653156786750174
9.041818518050047,26.26403144707415
12.107161633067383,17.550002429033814
8.172377285647444,25.942692503801002
1.8825542072572876,3.9887342971839765
2.2752099495652613,4.01186397183212
2.207465946680021,2.7180767658615275
1.3036061951533735,2.561694352703478
2.4429291524129617,3.7067836144018704
2.3665967607402556,3.7146861071605137
2.355143947832527,4.056561136689827
9.5943717671314,24.43793817269133
1.9627303763520512,3.7549853217900635
1.9975204327758467,4.134823454680957
2.80866417198031,7.367736308583332
3.0227394144016198,9.078959552721326
1.0102813957494672,1.9232640134913626
1.1812439702208257,3.5014415268950625
1.1543079775201732,2.2003553832965146
2.1723283396580926,3.927625123928843
2.2093139064904506,4.096969804002597
2.9880459498681,5.5783004466221735
2.3119263109671113,4.007224738340725
1.6755040870798392,2.602353694377858
2.6035046062942406,3.7851331113714117
1.4848648912664102,3.0452542528701447
2.3168452498430336,3.636968596485677
1.0496773597298203,2.4815154757029116
1.2653861501381578,4.143386479709564
1.3363672447214252,2.471928246542275
1.3964654288186797,2.142014022286032
2.080660165033563,2.750195839604369
2.6502304265088297,3.719642666119549
2.94487457187471,5.449905772216104
1.9927046784091267,2.6966169033931497
8.689346639222114,25.28591480919387
4.290410990073173,7.409473441108416
0.48642243566684473,1.7377749041521506
0.8415453896822351,2.1058343687779377
0.9091953111488953,1.792726540285618
2.0552310689128723,2.838991810135002
0.8518728978015958,5.527697639483129
2.564758504709665,5.174041726882783
0.8514973477706314,4.785715395550489
0.48660515187199027,2.3572052985720484
1.8023257431557693,2.6013279626011068
9.256533908874994,26.324486155843804
3.419460236182836,4.871113464121001
2.0237925305706055,2.198612395428312
1.3443668855237194,2.221093737867008
3.085672447352181,5.460508367851708
1.4195903501046219,2.1606169573479717
10.068498961218946,27.169573422949046
2.7543430476994337,5.491268216581562
4.814238203781159,4.468431308870471
1.9481121553297833,3.753988496319387
3.1403795288947984,3.4747196564007004
1.8671240207978128,2.7054616346323352
3.381190130760698,4.787014024398859
1.852900238323438,2.628093708199191
2.1668523132648856,2.7569247993231607
2.208658490600832,4.030982474439786
0.48671169250531665,1.6952148660970972
1.0989228523970653,2.7293137003473387
2.899023967123563,5.447975276418861
5.903697493723177,4.311782923535201
2.9293319962955855,3.4727683747020146
1.0387986999588825,1.8493781561354252
2.281934169496011,4.100122725464596
3.165017671661833,5.500198969425958
7.667711965603326,27.26203528242086
3.186346760152282,3.4748486929888602
1.9100043314801682,2.8552523543679698
2.320086327279938,4.077061947164002
1.2095693485998988,3.4724183469911063
0.7384210644095766,2.986360285232945
2.1978472972780323,5.230456815244934
4.713482395334747,4.900708172498233
2.0831993915743547,3.4932038949080315
0.595464498583804,1.8344556002029673
2.562683571825118,3.6698581377564015
3.0111658966459545,3.492293262262047
3.077142532520118,5.964505349525598
7.102068975320168,7.577436518376787
2.2579928221613343,4.018547396445835
2.1046252397885437,2.6721706378471017
1.1646302477209445,2.9054864262944533
2.69681075445294,5.512689130659198
2.714172914619497,5.326013274759063
0.4868882692673439,2.0888945384726934
1.51660034377711,2.3301817356607524
2.329303331279619,4.116977540267666
6.597929041822788,10.993522201473677
1.7928949628643844,2.7445110552629237
2.1049693360248245,2.68186600536209
