,qs_error,total_coil_length,total_coil_length_threshold,mean_iota,max_kappa,max_msc,nc_per_hp,nfp,aspect_ratio,ID,minor_radius,Nsurfaces,volume,helicity,QUASR coil distance,$L^*_{\nabla \vec{B}}$,$L_{\vec{B} \cdot \nabla \vec{B}}$,$L_{\nabla |B|}$,$L_{\max \sigma}$,$L_{\sigma}$,$L_{fsab}$
46,7.67528199256512e-08,92.99998645025886,93.0,0.5,4.999977481094638,4.999960664357128,2,3,10.000000514853992,1086114,0.0999999982838201,2,0.1973920880217876,0,8.780535783560369,23.140164020080253,23.03627224098081,17.51741649564578,21.412282076195588,23.140164020080256,12.861114866601824
47,0.0002336917034522,69.00111281737728,69.0,0.6,4.756576995862675,5.000000523491324,3,2,2.8572923561401917,898015,0.3499810042900118,7,2.4177858945135395,0,3.004039075626294,3.301444685350561,2.1117120558866347,2.787351624894306,2.8415515139895358,3.301444685350561,1.582882691386851
48,4.290353319247481e-06,55.20016383922971,55.2,1.6,13.387346532423628,35.00001540825504,2,3,24.000042908329448,1842804,0.0416665570304106,1,0.0342692504781669,1,1.5758293876219736,1.8740962856179204,1.2595963012096298,1.466575342666049,1.560674622062287,1.8740962856179209,0.8376443666204968
49,1.014320852856e-07,87.00000028183801,87.0,0.1,5.00000001224958,3.970606668648269,3,2,3.3333333061752457,1050985,0.3000000008147424,6,1.7765287921960808,0,1.78763993920875,1.9548513506763463,1.2250148126835916,1.6534029128496872,1.4232181772349646,1.954851350676345,0.8202853902706773
50,9.44716612874607e-07,78.0000021692396,78.0,0.2,4.892689619303869,5.000000572123016,2,3,6.666667189527075,51431,0.149999996078547,3,0.4441321980490199,0,8.278868368076564,15.129775828172331,11.398847955296777,14.264045652896057,14.90178220873014,15.129775828172336,8.545315683264397
51,4.0151527739668965e-07,60.000014527874285,60.0,0.2,3.860165032768756,5.000004304324422,3,2,10.000049449230795,893551,0.09999950519369,2,0.1973901339849674,0,2.515320012154735,3.1112793566437693,2.6404522836864928,2.6972605462912997,2.9434521790483283,3.11127935664377,1.423909077072093
52,1.2890624161367785e-05,81.0001470813021,81.0,0.1,4.991193230013636,5.000019081408632,2,3,4.000010706481473,923633,0.2499997769487007,5,1.2337005501361704,0,3.0083296955989445,3.37720185854072,2.1253693898709454,2.6450518305664086,2.990809904185717,3.37720185854072,1.696289102204502
53,3.375578155274869e-07,102.00000200798416,102.0,0.2,3.796009203307906,2.734558826661188,3,2,3.3333335329665936,894325,0.2999999940110024,6,1.7765287921960848,0,4.915193116499838,6.956919599078981,5.208706021166398,6.092736158717763,6.669558558365369,6.956919599078981,3.652092074889184
54,3.1344210412735895e-08,107.99999733307467,108.0,0.7,3.131292747337422,2.5804387842252083,3,2,10.000000132433614,621216,0.0999999995585546,2,0.1973920880217873,0,3.608243630626837,3.4418228242712017,5.590261004006551,3.9528201195326167,2.6744211149647765,3.4418228242712026,2.1565641559911746
55,8.13792173866686e-06,54.00006584939728,54.0,1.6,8.267191987697876,18.986663860256385,2,3,11.99999172834963,1451371,0.0833333524806809,2,0.1370778389040189,1,5.641198026579367,8.711540759181892,8.022024500130387,6.761101414253044,8.264575345408067,8.71154075918189,4.811252574858649
56,5.551530881365361e-09,99.00000411017098,99.0,0.4,2.495944002841807,2.0607634746502628,3,2,20.000012997028385,23191,0.049999965263127,1,0.0493479512225751,0,8.638550377927167,14.3997157940767,9.992319551566997,12.390602054936682,12.657043090197972,14.3997157940767,8.291863192898472
57,0.0001412825150186,68.99825695668711,69.0,0.3,4.484084652701891,5.000306778985506,3,2,2.857118799901732,894816,0.3500009823428602,7,2.4180530782668925,0,12.632924489891312,14.45311936521998,14.064371296930878,12.153463145968844,14.32618368389958,14.45311936521998,7.911142871665146
58,3.2950368960798054e-08,98.99999471503833,99.0,0.9,4.52306892319721,4.999995188385538,2,3,20.000001824361505,653940,0.0499999984796988,1,0.0493480220054467,0,4.806739486757198,6.382074026354053,5.378011328468145,4.944759030541614,5.53154571796263,6.382074026354053,3.3059807653853297
59,1.8879350785518442e-07,78.0000007157101,78.0,0.92,6.363429414017702,9.323661144226024,3,2,11.9999998254181,2296449,0.0833333337374579,2,0.1370778389040183,1,11.396360832065785,7.684937540174339,6.131678656476347,6.824259679075646,7.0182577601379945,7.684937540174339,4.026038071917946
60,4.2495602305271334e-08,66.00000131292556,66.0,0.4,4.768042865181953,5.000000398048547,2,3,20.00000060418701,648011,0.0499999994965108,1,0.0493480220054467,0,12.361997593295568,15.676480668615325,14.02675389217049,13.768866711038852,15.555527438246534,15.67648066861532,8.542474965051724
61,4.121117379969789e-07,69.00000272019344,69.0,0.4,4.948094006828347,4.999999546474236,3,2,4.999999930427147,895863,0.2000000009276381,4,0.789568352087149,0,9.616793807459905,16.803364736227277,12.70628785014321,15.514738508609732,16.4456505049694,16.80336473622728,9.415780225412565
62,1.0310864100753192e-06,66.00002704685161,66.0,0.6,4.957663811873173,5.000006402132889,2,3,20.000042733256468,808122,0.0499998937577995,1,0.0493478128749804,0,13.405928987791928,17.84761343212109,14.24806066213692,15.996180908705757,15.859567169282617,17.84761343212109,10.093435052442812
63,2.648293567319374e-09,80.99996503395226,81.0,0.5,4.398693732997098,5.000000251717282,3,2,9.999999903246229,1055139,0.1000000003225126,2,0.1973920880217874,0,3.3713140054351034,7.173686963991684,4.959445995337134,6.018039609272974,6.478440672044378,7.173686963991685,3.829753878322039
64,0.0001867221446925,63.000488245570025,63.0,0.1,3.874931758688513,5.000037073793635,2,3,2.8571978958086146,398852,0.3499977526166766,7,2.418053078266895,0,2.7224242519746533,1.1901498348401371,0.7104934498872437,1.0706574555623378,0.9402051142487008,1.1901498348401371,0.5013298157547798
65,2.0976084926212693e-05,60.00006721259426,60.0,0.2,2.881382102066281,3.6010209709490297,3,2,3.333329538246211,369150,0.3000001138527002,6,1.7765287921960873,0,0.5677606655831815,1.973105415088399,1.5540056985513444,1.5767510300078411,1.8253611552680156,1.9731054150883995,0.7914550108562008
66,5.547005410562975e-07,87.00000699651255,87.0,0.4,4.9996826439042685,5.000003502796698,3,2,3.3333322848961293,190797,0.3000000314531228,6,1.7765287921960866,0,2.7134854721296446,3.2039617131855893,2.1284908583586666,2.674847776281925,3.022259136432464,3.2039617131855893,1.5157451743155428
